,BMP_Fingerprint,Facility_ID,idxFacBMPAssignment,r_tss,r_turbidity,r_p,r_n,r_nn,r_an,r_og,r_cu,r_zn,r_fe,r_phmin,r_phmax,PEP_BaseRisk,Total_BaseRisk,is_calculated,RedPEP_BaseRisk,RedTotal_BaseRisk,CIP_Cost,OM_Cost,PEP_BaseRisk_Rate
8,|14|,1,1|14|,0,0,0,0,0,0,0,0,0,0,0,0,1.188568134,4.463339494,TRUE,1.188568134,4.463339494,0,0,0
0,|1|,1,1|1|,0.39,0,0,0,0,0,0.63,0.2,0.4,0,0,0,1.188568134,4.463339494,TRUE,1.092874705,4.367646065,421636.32,15552,0.080511521
16,|1||14|,1,1|1||14|,0.39,0,0,0,0,0,0.63,0.2,0.4,0,0,0,1.188568134,4.463339494,TRUE,1.092874705,4.367646065,421636.32,15552,0.080511521
34,|6||14|,1,1|6||14|,0.8,0,0,0,0,0,0.8,0,0,0,0,0,1.188568134,4.463339494,TRUE,1.049735794,4.324507154,7500,8100,0.116806379
11,|1||6|,1,1|1||6|,0.8,0,0,0,0,0,0.8,0.2,0.4,0,0,0,1.188568134,4.463339494,TRUE,1.049735794,4.324507154,429136.32,23652,0.116806379
62,|1||6||14|,1,1|1||6||14|,0.8,0,0,0,0,0,0.8,0.2,0.4,0,0,0,1.188568134,4.463339494,TRUE,1.049735794,4.324507154,429136.32,23652,0.116806379
3,|6|,1,1|6|,0.8,0,0,0,0,0,0.8,0,0,0,0,0,1.188568134,4.463339494,TRUE,1.049735794,4.324507154,7500,8100,0.116806379
66,|1||7||14|,1,1|1||7||14|,0.7,0.78,0.33,0.21,0,0,0.63,0.2,0.45,0.45,0,0,1.188568134,4.463339494,TRUE,0.938574769,4.213346129,3150877.52,110874.9,0.210331539
4,|7|,1,1|7|,0.7,0.78,0.33,0.21,0,0,0,0,0.45,0.45,0,0,1.188568134,4.463339494,TRUE,0.938574769,4.213346129,2729241.2,95322.9,0.210331539
12,|1||7|,1,1|1||7|,0.7,0.78,0.33,0.21,0,0,0.63,0.2,0.45,0.45,0,0,1.188568134,4.463339494,TRUE,0.938574769,4.213346129,3150877.52,110874.9,0.210331539
58,|1||6||7|,1,1|1||6||7|,0.8,0.78,0.33,0.21,0,0,0.8,0.2,0.45,0.45,0,0,1.188568134,4.463339494,TRUE,0.938574769,4.213346129,3158377.52,118974.9,0.210331539
38,|7||14|,1,1|7||14|,0.7,0.78,0.33,0.21,0,0,0,0,0.45,0.45,0,0,1.188568134,4.463339494,TRUE,0.938574769,4.213346129,2729241.2,95322.9,0.210331539
168,|1||6||7||14|,1,1|1||6||7||14|,0.8,0.78,0.33,0.21,0,0,0.8,0.2,0.45,0.45,0,0,1.188568134,4.463339494,TRUE,0.938574769,4.213346129,3158377.52,118974.9,0.210331539
112,|6||7||14|,1,1|6||7||14|,0.8,0.78,0.33,0.21,0,0,0.8,0,0.45,0.45,0,0,1.188568134,4.463339494,TRUE,0.938574769,4.213346129,2736741.2,103422.9,0.210331539
30,|6||7|,1,1|6||7|,0.8,0.78,0.33,0.21,0,0,0.8,0,0.45,0.45,0,0,1.188568134,4.463339494,TRUE,0.938574769,4.213346129,2736741.2,103422.9,0.210331539
69,|1||8||14|,1,1|1||8||14|,0.95,0.955,0,0.36,0,0,0.93,0.95,0.51,0,0,0,1.188568134,4.463339494,TRUE,0.905086852,4.179858212,3143727.08,59394.37253,0.238506547
31,|6||8|,1,1|6||8|,0.95,0.955,0,0.36,0,0,0.93,0.95,0.51,0,0,0,1.188568134,4.463339494,TRUE,0.905086852,4.179858212,2729590.76,51942.37253,0.238506547
59,|1||6||8|,1,1|1||6||8|,0.95,0.955,0,0.36,0,0,0.93,0.95,0.51,0,0,0,1.188568134,4.463339494,TRUE,0.905086852,4.179858212,3151227.08,67494.37253,0.238506547
41,|8||14|,1,1|8||14|,0.95,0.955,0,0.36,0,0,0.93,0.95,0.51,0,0,0,1.188568134,4.463339494,TRUE,0.905086852,4.179858212,2722090.76,43842.37253,0.238506547
115,|6||8||14|,1,1|6||8||14|,0.95,0.955,0,0.36,0,0,0.93,0.95,0.51,0,0,0,1.188568134,4.463339494,TRUE,0.905086852,4.179858212,2729590.76,51942.37253,0.238506547
171,|1||6||8||14|,1,1|1||6||8||14|,0.95,0.955,0,0.36,0,0,0.93,0.95,0.51,0,0,0,1.188568134,4.463339494,TRUE,0.905086852,4.179858212,3151227.08,67494.37253,0.238506547
13,|1||8|,1,1|1||8|,0.95,0.955,0,0.36,0,0,0.93,0.95,0.51,0,0,0,1.188568134,4.463339494,TRUE,0.905086852,4.179858212,3143727.08,59394.37253,0.238506547
5,|8|,1,1|8|,0.95,0.955,0,0.36,0,0,0.93,0.95,0.51,0,0,0,1.188568134,4.463339494,TRUE,0.905086852,4.179858212,2722090.76,43842.37253,0.238506547
52,|1||3||6|,1,1|1||3||6|,0.8,0.27,0.64,0.34,0,0,0.9,0.4,0.605,0,0,0,1.188568134,4.463339494,TRUE,0.896173019,4.170944379,4530099.04,39204,0.246006187
24,|3||6|,1,1|3||6|,0.8,0.27,0.64,0.34,0,0,0.9,0.4,0.605,0,0,0,1.188568134,4.463339494,TRUE,0.896173019,4.170944379,4108462.72,23652,0.246006187
154,|1||3||6||14|,1,1|1||3||6||14|,0.8,0.27,0.64,0.34,0,0,0.9,0.4,0.605,0,0,0,1.188568134,4.463339494,TRUE,0.896173019,4.170944379,4530099.04,39204,0.246006187
57,|1||3||14|,1,1|1||3||14|,0.8,0.27,0.64,0.34,0,0,0.9,0.4,0.605,0,0,0,1.188568134,4.463339494,TRUE,0.896173019,4.170944379,4522599.04,31104,0.246006187
29,|3||14|,1,1|3||14|,0.8,0.27,0.64,0.34,0,0,0.9,0.4,0.605,0,0,0,1.188568134,4.463339494,TRUE,0.896173019,4.170944379,4100962.72,15552,0.246006187
10,|1||3|,1,1|1||3|,0.8,0.27,0.64,0.34,0,0,0.9,0.4,0.605,0,0,0,1.188568134,4.463339494,TRUE,0.896173019,4.170944379,4522599.04,31104,0.246006187
2,|3|,1,1|3|,0.8,0.27,0.64,0.34,0,0,0.9,0.4,0.605,0,0,0,1.188568134,4.463339494,TRUE,0.896173019,4.170944379,4100962.72,15552,0.246006187
98,|3||6||14|,1,1|3||6||14|,0.8,0.27,0.64,0.34,0,0,0.9,0.4,0.605,0,0,0,1.188568134,4.463339494,TRUE,0.896173019,4.170944379,4108462.72,23652,0.246006187
121,|7||8||14|,1,1|7||8||14|,0.95,0.955,0.33,0.36,0,0,0.93,0.95,0.51,0.45,0,0,1.188568134,4.463339494,TRUE,0.888192036,4.162963396,5451331.96,139165.2725,0.252720975
312,|1||6||7||8||14|,1,1|1||6||7||8||14|,0.95,0.955,0.33,0.36,0,0,0.93,0.95,0.51,0.45,0,0,1.188568134,4.463339494,TRUE,0.888192036,4.162963396,5880468.28,162817.2725,0.252720975
109,|6||7||8|,1,1|6||7||8|,0.95,0.955,0.33,0.36,0,0,0.93,0.95,0.51,0.45,0,0,1.188568134,4.463339494,TRUE,0.888192036,4.162963396,5458831.96,147265.2725,0.252720975
35,|7||8|,1,1|7||8|,0.95,0.955,0.33,0.36,0,0,0.93,0.95,0.51,0.45,0,0,1.188568134,4.463339494,TRUE,0.888192036,4.162963396,5451331.96,139165.2725,0.252720975
242,|6||7||8||14|,1,1|6||7||8||14|,0.95,0.955,0.33,0.36,0,0,0.93,0.95,0.51,0.45,0,0,1.188568134,4.463339494,TRUE,0.888192036,4.162963396,5458831.96,147265.2725,0.252720975
165,|1||6||7||8|,1,1|1||6||7||8|,0.95,0.955,0.33,0.36,0,0,0.93,0.95,0.51,0.45,0,0,1.188568134,4.463339494,TRUE,0.888192036,4.162963396,5880468.28,162817.2725,0.252720975
63,|1||7||8|,1,1|1||7||8|,0.95,0.955,0.33,0.36,0,0,0.93,0.95,0.51,0.45,0,0,1.188568134,4.463339494,TRUE,0.888192036,4.162963396,5872968.28,154717.2725,0.252720975
177,|1||7||8||14|,1,1|1||7||8||14|,0.95,0.955,0.33,0.36,0,0,0.93,0.95,0.51,0.45,0,0,1.188568134,4.463339494,TRUE,0.888192036,4.162963396,5872968.28,154717.2725,0.252720975
223,|3||6||7||14|,1,1|3||6||7||14|,0.8,0.78,0.64,0.34,0,0,0.9,0.4,0.605,0.45,0,0,1.188568134,4.463339494,TRUE,0.881117585,4.155888945,6837703.92,118974.9,0.258673054
158,|1||3||7||14|,1,1|1||3||7||14|,0.8,0.78,0.64,0.34,0,0,0.9,0.4,0.605,0.45,0,0,1.188568134,4.463339494,TRUE,0.881117585,4.155888945,7251840.24,126426.9,0.258673054
94,|3||6||7|,1,1|3||6||7|,0.8,0.78,0.64,0.34,0,0,0.9,0.4,0.605,0.45,0,0,1.188568134,4.463339494,TRUE,0.881117585,4.155888945,6837703.92,118974.9,0.258673054
25,|3||7|,1,1|3||7|,0.8,0.78,0.64,0.34,0,0,0.9,0.4,0.605,0.45,0,0,1.188568134,4.463339494,TRUE,0.881117585,4.155888945,6830203.92,110874.9,0.258673054
293,|1||3||6||7||14|,1,1|1||3||6||7||14|,0.8,0.78,0.64,0.34,0,0,0.9,0.4,0.605,0.45,0,0,1.188568134,4.463339494,TRUE,0.881117585,4.155888945,7259340.24,134526.9,0.258673054
102,|3||7||14|,1,1|3||7||14|,0.8,0.78,0.64,0.34,0,0,0.9,0.4,0.605,0.45,0,0,1.188568134,4.463339494,TRUE,0.881117585,4.155888945,6830203.92,110874.9,0.258673054
150,|1||3||6||7|,1,1|1||3||6||7|,0.8,0.78,0.64,0.34,0,0,0.9,0.4,0.605,0.45,0,0,1.188568134,4.463339494,TRUE,0.881117585,4.155888945,7259340.24,134526.9,0.258673054
53,|1||3||7|,1,1|1||3||7|,0.8,0.78,0.64,0.34,0,0,0.9,0.4,0.605,0.45,0,0,1.188568134,4.463339494,TRUE,0.881117585,4.155888945,7251840.24,126426.9,0.258673054
296,|1||3||6||8||14|,1,1|1||3||6||8||14|,0.95,0.955,0.64,0.36,0,0,0.93,0.95,0.605,0,0,0,1.188568134,4.463339494,TRUE,0.873078637,4.147849997,7252189.8,83046.37253,0.26543661
362,|3||6||7||8||14|,1,1|3||6||7||8||14|,0.95,0.955,0.64,0.36,0,0,0.93,0.95,0.605,0.45,0,0,1.188568134,4.463339494,TRUE,0.873078637,4.147849997,9559794.68,162817.2725,0.26543661
232,|3||7||8||14|,1,1|3||7||8||14|,0.95,0.955,0.64,0.36,0,0,0.93,0.95,0.605,0.45,0,0,1.188568134,4.463339494,TRUE,0.873078637,4.147849997,9552294.68,154717.2725,0.26543661
54,|1||3||8|,1,1|1||3||8|,0.95,0.955,0.64,0.36,0,0,0.93,0.95,0.605,0,0,0,1.188568134,4.463339494,TRUE,0.873078637,4.147849997,7244689.8,74946.37253,0.26543661
226,|3||6||8||14|,1,1|3||6||8||14|,0.95,0.955,0.64,0.36,0,0,0.93,0.95,0.605,0,0,0,1.188568134,4.463339494,TRUE,0.873078637,4.147849997,6830553.48,67494.37253,0.26543661
105,|3||8||14|,1,1|3||8||14|,0.95,0.955,0.64,0.36,0,0,0.93,0.95,0.605,0,0,0,1.188568134,4.463339494,TRUE,0.873078637,4.147849997,6823053.48,59394.37253,0.26543661
220,|3||6||7||8|,1,1|3||6||7||8|,0.95,0.955,0.64,0.36,0,0,0.93,0.95,0.605,0.45,0,0,1.188568134,4.463339494,TRUE,0.873078637,4.147849997,9559794.68,162817.2725,0.26543661
155,|1||3||7||8|,1,1|1||3||7||8|,0.95,0.955,0.64,0.36,0,0,0.93,0.95,0.605,0.45,0,0,1.188568134,4.463339494,TRUE,0.873078637,4.147849997,9973931,170269.2725,0.26543661
